Entity,Code,Year,Annual CO₂ emissions
China,CHN,1991,2619143400
China,CHN,1992,2731290400
China,CHN,1993,2914284500
China,CHN,1994,3093890800
China,CHN,1995,3351197200
China,CHN,1996,3499310600
China,CHN,1997,3512350000
China,CHN,1998,3355336000
China,CHN,1999,3549949000
China,CHN,2000,3643809500
China,CHN,2001,3724114200
China,CHN,2002,4098180600
China,CHN,2003,4835251700
China,CHN,2004,5210961400
China,CHN,2005,5881990700
China,CHN,2006,6486184400
China,CHN,2007,6974663000
China,CHN,2008,7492404000
China,CHN,2009,7881491000
China,CHN,2010,8610048000
China,CHN,2011,9520154000
China,CHN,2012,9767310000
China,CHN,2013,9942371000
China,CHN,2014,9976027000
China,CHN,2015,9858040000
China,CHN,2016,9748175000
China,CHN,2017,10000013000
China,CHN,2018,10346790000
China,CHN,2019,10713515000
China,CHN,2020,10896520000
China,CHN,2021,11284401000
China,CHN,2022,11711807000
China,CHN,2023,12172008000
China,CHN,2024,12289037000
France,FRA,1802,2238704
France,FRA,1804,2176416
France,FRA,1810,2121456
France,FRA,1811,2051840.1
France,FRA,1812,2216720
France,FRA,1813,2048176
France,FRA,1814,2092144
France,FRA,1815,2341296
France,FRA,1816,2498848
France,FRA,1817,2660064
France,FRA,1818,2381600
France,FRA,1819,2557472
France,FRA,1820,2901888
France,FRA,1821,3011808
France,FRA,1822,3169360
France,FRA,1823,3169360
France,FRA,1824,3517440
France,FRA,1825,3957120
France,FRA,1826,4089024
France,FRA,1827,5910032
France,FRA,1828,6243456
France,FRA,1829,6074912
France,FRA,1830,6551232
France,FRA,1831,6052928
France,FRA,1832,6679472
France,FRA,1833,7247392
France,FRA,1834,8921840
France,FRA,1835,9258928
France,FRA,1836,10636592
France,FRA,1837,11351072
France,FRA,1838,11867696
France,FRA,1839,11570912
France,FRA,1840,11798080
France,FRA,1841,13820608
France,FRA,1842,14527760
France,FRA,1843,14549744
France,FRA,1844,15260560
France,FRA,1845,17836352
France,FRA,1846,18528848
France,FRA,1847,20840832
France,FRA,1848,16689520
France,FRA,1849,17385680
France,FRA,1850,19617056
France,FRA,1851,20038416
France,FRA,1852,21569968
France,FRA,1853,25340224
France,FRA,1854,29213072
France,FRA,1855,33071262
France,FRA,1856,34632130
France,FRA,1857,35280656
France,FRA,1858,34595490
France,FRA,1859,34991200
France,FRA,1860,38131250
France,FRA,1861,41241984
France,FRA,1862,43524656
France,FRA,1863,44187840
France,FRA,1864,46829584
France,FRA,1865,49302784
France,FRA,1866,53560350
France,FRA,1867,54278496
France,FRA,1868,55531584
France,FRA,1869,56942224
France,FRA,1870,50537550
France,FRA,1871,50262750
France,FRA,1872,60924990
France,FRA,1873,65849412
France,FRA,1874,62643410
France,FRA,1875,65259508
France,FRA,1876,65358428
France,FRA,1877,63925810
France,FRA,1878,65222864
France,FRA,1879,67498210
France,FRA,1880,76148910
France,FRA,1881,77984580
France,FRA,1882,82308100
France,FRA,1883,86320180
France,FRA,1884,82912660
France,FRA,1885,79713980
France,FRA,1886,79072780
France,FRA,1887,83290050
France,FRA,1888,86653600
France,FRA,1889,88797040
France,FRA,1890,97817810
France,FRA,1891,97982690
France,FRA,1892,98121920
France,FRA,1893,96330220
France,FRA,1894,101899500
France,FRA,1895,102775200
France,FRA,1896,106281650
France,FRA,1897,111261020
France,FRA,1898,115045940
France,FRA,1899,120300110
France,FRA,1900,129276920
France,FRA,1901,125004690
France,FRA,1902,117662030
France,FRA,1903,129342860
France,FRA,1904,125997630
France,FRA,1905,127426590
France,FRA,1906,136568270
France,FRA,1907,145596370
France,FRA,1908,146713890
France,FRA,1909,150095760
France,FRA,1910,150612380
France,FRA,1911,156907140
France,FRA,1912,158577920
France,FRA,1913,171112460
France,FRA,1914,118350860
France,FRA,1915,103233200
France,FRA,1916,109689170
France,FRA,1917,121604500
France,FRA,1918,108450740
France,FRA,1919,116141470
France,FRA,1920,151777540
France,FRA,1921,137909300
France,FRA,1922,163150600
France,FRA,1923,184189280
France,FRA,1924,206634940
France,FRA,1925,213827380
France,FRA,1926,213732110
France,FRA,1927,213039620
France,FRA,1928,211619150
France,FRA,1929,234282100
France,FRA,1930,237634190
France,FRA,1931,217493550
France,FRA,1932,191775420
France,FRA,1933,199387060
France,FRA,1934,201350060
France,FRA,1935,195372340
France,FRA,1936,198079070
France,FRA,1937,217705010
France,FRA,1938,201798460
France,FRA,1939,194617020
France,FRA,1940,137737090
France,FRA,1941,119927290
France,FRA,1942,122495736
France,FRA,1943,125245670
France,FRA,1944,79986440
France,FRA,1945,107165640
France,FRA,1946,165245170
France,FRA,1947,183624110
France,FRA,1948,196500540
France,FRA,1949,229050910
France,FRA,1950,202450910
France,FRA,1951,228945170
France,FRA,1952,227217330
France,FRA,1953,214771790
France,FRA,1954,226601010
France,FRA,1955,239267600
France,FRA,1956,268807100
France,FRA,1957,277881700
France,FRA,1958,266527340
France,FRA,1959,262329810
France,FRA,1960,298395840
France,FRA,1961,318161820
France,FRA,1962,335538270
France,FRA,1963,340421950
France,FRA,1964,371374000
France,FRA,1965,365844930
France,FRA,1966,382835940
France,FRA,1967,407292540
France,FRA,1968,421116100
France,FRA,1969,446577900
France,FRA,1970,463946460
France,FRA,1971,497045800
France,FRA,1972,517593100
France,FRA,1973,542646300
France,FRA,1974,524736700
France,FRA,1975,486023100
France,FRA,1976,527371840
France,FRA,1977,511269060
France,FRA,1978,532682500
France,FRA,1979,536053000
France,FRA,1980,514509470
France,FRA,1981,462596380
France,FRA,1982,443395520
France,FRA,1983,426039200
France,FRA,1984,414655870
France,FRA,1985,407801860
France,FRA,1986,392871740
France,FRA,1987,390134660
France,FRA,1988,387601180
France,FRA,1989,401469220
France,FRA,1990,394904320
France,FRA,1991,419118720
France,FRA,1992,408433000
France,FRA,1993,388889700
France,FRA,1994,381903100
France,FRA,1995,386958820
France,FRA,1996,403351940
France,FRA,1997,396023140
France,FRA,1998,414357000
France,FRA,1999,413070240
France,FRA,2000,407444640
France,FRA,2001,411591650
France,FRA,2002,407026600
France,FRA,2003,412989100
France,FRA,2004,414073000
France,FRA,2005,416342900
France,FRA,2006,406669020
France,FRA,2007,396461200
France,FRA,2008,389794300
France,FRA,2009,371404200
France,FRA,2010,377079400
France,FRA,2011,355126820
France,FRA,2012,358100260
France,FRA,2013,360013340
France,FRA,2014,327808770
France,FRA,2015,332131000
France,FRA,2016,335496400
France,FRA,2017,338368030
France,FRA,2018,323101730
France,FRA,2019,316320800
France,FRA,2020,281515500
France,FRA,2021,307271840
France,FRA,2022,295303800
France,FRA,2023,270262660
France,FRA,2024,264155620
Germany,DEU,1792,468992
Germany,DEU,1793,479984
Germany,DEU,1794,443344
Germany,DEU,1795,447008
Germany,DEU,1796,534944
Germany,DEU,1797,549600
Germany,DEU,1798,575248
Germany,DEU,1799,626544
Germany,DEU,1800,795088
Germany,DEU,1801,534944
Germany,DEU,1802,553264
Germany,DEU,1803,534944
Germany,DEU,1804,1007599.94
Germany,DEU,1805,1040576
Germany,DEU,1806,937984
Germany,DEU,1807,2689376
Germany,DEU,1808,897680
Germany,DEU,1809,930656
Germany,DEU,1810,978288
Germany,DEU,1811,926992
Germany,DEU,1812,912336
Germany,DEU,1813,890352
Germany,DEU,1814,883024
Germany,DEU,1815,1029584.06
Germany,DEU,1816,2385264
Germany,DEU,1817,3381872
Germany,DEU,1818,3532096
Germany,DEU,1819,3275616
Germany,DEU,1820,3381872
Germany,DEU,1821,3532096
Germany,DEU,1822,3631024
Germany,DEU,1823,4034063.8
Germany,DEU,1824,3231648
Germany,DEU,1825,4338176
Germany,DEU,1826,4187952
Germany,DEU,1827,4539696
Germany,DEU,1828,4539696
Germany,DEU,1829,3631024
Germany,DEU,1830,4792512
Germany,DEU,1831,4590992
Germany,DEU,1832,3447824
Germany,DEU,1833,4378480
Germany,DEU,1834,4411456
Germany,DEU,1835,4931744
Germany,DEU,1836,5191888
Germany,DEU,1837,5950336
Germany,DEU,1838,6631840
Germany,DEU,1839,7020224
Germany,DEU,1840,9174656
Germany,DEU,1841,9548384
Germany,DEU,1842,10882080
Germany,DEU,1843,10299504
Germany,DEU,1844,10882080
Germany,DEU,1845,12611488
Germany,DEU,1846,13186736
Germany,DEU,1847,13838928
Germany,DEU,1848,12827664
Germany,DEU,1849,13622752
Germany,DEU,1850,15139648
Germany,DEU,1851,16869056
Germany,DEU,1852,19173712
Germany,DEU,1853,20760224
Germany,DEU,1854,24365600
Germany,DEU,1855,28615840
Germany,DEU,1856,30924160
Germany,DEU,1857,32939362
Germany,DEU,1858,35610416
Germany,DEU,1859,33807730
Germany,DEU,1860,36394510
Germany,DEU,1861,41329920
Germany,DEU,1862,45539856
Germany,DEU,1863,49383390
Germany,DEU,1864,56641776
Germany,DEU,1865,63467810
Germany,DEU,1866,62907216
Germany,DEU,1867,69154340
Germany,DEU,1868,74368210
Germany,DEU,1869,77592530
Germany,DEU,1870,76639890
Germany,DEU,1871,85349220
Germany,DEU,1872,92109300
Germany,DEU,1873,98367410
Germany,DEU,1874,71594560
Germany,DEU,1875,101518450
Germany,DEU,1876,103438380
Germany,DEU,1877,101302270
Germany,DEU,1878,104544910
Germany,DEU,1879,110846990
Germany,DEU,1880,124502720
Germany,DEU,1881,134263620
Germany,DEU,1882,143665440
Germany,DEU,1883,153092910
Germany,DEU,1884,157526350
Germany,DEU,1885,161183020
Germany,DEU,1886,163033340
Germany,DEU,1887,170390660
Germany,DEU,1888,186347380
Germany,DEU,1889,198848940
Germany,DEU,1890,208232450
Germany,DEU,1891,220840270
Germany,DEU,1892,214988860
Germany,DEU,1893,220712030
Germany,DEU,1894,229498300
Germany,DEU,1895,238284580
Germany,DEU,1896,256260160
Germany,DEU,1897,273554240
Germany,DEU,1898,285377950
Germany,DEU,1899,303283940
Germany,DEU,1900,326759200
Germany,DEU,1901,325557400
Germany,DEU,1902,319189380
Germany,DEU,1903,343598940
Germany,DEU,1904,356122460
Germany,DEU,1905,382323740
Germany,DEU,1906,361937250
Germany,DEU,1907,442182530
Germany,DEU,1908,446641600
Germany,DEU,1909,445571700
Germany,DEU,1910,445366530
Germany,DEU,1911,458586240
Germany,DEU,1912,499121060
Germany,DEU,1913,535083260
Germany,DEU,1914,497926600
Germany,DEU,1915,462906100
Germany,DEU,1916,500696600
Germany,DEU,1917,524578560
Germany,DEU,1918,503422600
Germany,DEU,1919,387427700
Germany,DEU,1920,429208300
Germany,DEU,1921,473179970
Germany,DEU,1922,455460830
Germany,DEU,1923,331929100
Germany,DEU,1924,451793180
Germany,DEU,1925,458065950
Germany,DEU,1926,413236900
Germany,DEU,1927,481185800
Germany,DEU,1928,505010900
Germany,DEU,1929,539234750
Germany,DEU,1930,462091780
Germany,DEU,1931,385964900
Germany,DEU,1932,347485760
Germany,DEU,1933,364980800
Germany,DEU,1934,408619780
Germany,DEU,1935,452332830
Germany,DEU,1936,499634430
Germany,DEU,1937,563512600
Germany,DEU,1938,601272640
Germany,DEU,1939,648625500
Germany,DEU,1940,654325000
Germany,DEU,1941,660793200
Germany,DEU,1942,667899400
Germany,DEU,1943,679430140
Germany,DEU,1944,600273150
Germany,DEU,1945,116064530
Germany,DEU,1946,271682430
Germany,DEU,1947,317660030
Germany,DEU,1948,377816400
Germany,DEU,1949,432148030
Germany,DEU,1950,510498620
Germany,DEU,1951,576631100
Germany,DEU,1952,610757060
Germany,DEU,1953,623250200
Germany,DEU,1954,659493700
Germany,DEU,1955,723231040
Germany,DEU,1956,765941600
Germany,DEU,1957,777665860
Germany,DEU,1958,756119100
Germany,DEU,1959,755483140
Germany,DEU,1960,813602200
Germany,DEU,1961,834506300
Germany,DEU,1962,882842560
Germany,DEU,1963,945241540
Germany,DEU,1964,968631740
Germany,DEU,1965,959842050
Germany,DEU,1966,951154560
Germany,DEU,1967,936013200
Germany,DEU,1968,984581950
Germany,DEU,1969,1051802900
Germany,DEU,1970,1025802500
Germany,DEU,1971,1037079230
Germany,DEU,1972,1041356400
Germany,DEU,1973,1085602800
Germany,DEU,1974,1062510850
Germany,DEU,1975,1002285760
Germany,DEU,1976,1090807700
Germany,DEU,1977,1052513300
Germany,DEU,1978,1079066600
Germany,DEU,1979,1117745500
Germany,DEU,1980,1099901200
Germany,DEU,1981,1048362200
Germany,DEU,1982,1015499600
Germany,DEU,1983,1011436300
Germany,DEU,1984,1033017500
Germany,DEU,1985,1043912800
Germany,DEU,1986,1047233800
Germany,DEU,1987,1032266940
Germany,DEU,1988,1028701630
Germany,DEU,1989,1008565250
Germany,DEU,1990,1054795900
Germany,DEU,1991,1016929540
Germany,DEU,1992,969464450
Germany,DEU,1993,959385860
Germany,DEU,1994,943227650
Germany,DEU,1995,939933600
Germany,DEU,1996,959690100
Germany,DEU,1997,931508100
Germany,DEU,1998,923498700
Germany,DEU,1999,895442050
Germany,DEU,2000,898975740
Germany,DEU,2001,915254800
Germany,DEU,2002,898834300
Germany,DEU,2003,894501100
Germany,DEU,2004,876569860
Germany,DEU,2005,867880500
Germany,DEU,2006,886434300
Germany,DEU,2007,846152960
Germany,DEU,2008,856642500
Germany,DEU,2009,789983940
Germany,DEU,2010,826704700
Germany,DEU,2011,804541600
Germany,DEU,2012,814093000
Germany,DEU,2013,831745540
Germany,DEU,2014,792583600
Germany,DEU,2015,800822500
Germany,DEU,2016,797988300
Germany,DEU,2017,784595140
Germany,DEU,2018,758771400
Germany,DEU,2019,708648960
Germany,DEU,2020,647176800
Germany,DEU,2021,677997700
Germany,DEU,2022,667843000
Germany,DEU,2023,593766000
Germany,DEU,2024,572319170
India,IND,1858,394481
India,IND,1859,636474
India,IND,1860,643104
India,IND,1861,497245
India,IND,1862,550285
India,IND,1863,609954
India,IND,1864,576805
India,IND,1865,566860
India,IND,1866,639789
India,IND,1878,1766878
India,IND,1879,1684355
India,IND,1880,1886743
India,IND,1881,1839304
India,IND,1882,2196259
India,IND,1883,2440867
India,IND,1884,2729971
India,IND,1885,2459363
India,IND,1886,2772020
India,IND,1887,3065970
India,IND,1888,3409502
India,IND,1889,4021770
India,IND,1890,4431605
India,IND,1891,4772351
India,IND,1892,5247216
India,IND,1893,5543114
India,IND,1894,5616621
India,IND,1895,7034599
India,IND,1896,7607913
India,IND,1897,8253253
India,IND,1898,9125050
India,IND,1899,10054329
India,IND,1900,11929382
India,IND,1901,13179482
India,IND,1902,14515204
India,IND,1903,14801903
India,IND,1904,16560764
India,IND,1905,16930472
India,IND,1906,19549130
India,IND,1907,21772074
India,IND,1908,24907868
India,IND,1909,24142304
India,IND,1910,23486964
India,IND,1911,24782072
India,IND,1912,28521014
India,IND,1913,31466286
India,IND,1914,31697660
India,IND,1915,33141220
India,IND,1916,33517002
India,IND,1917,35019230
India,IND,1918,39358704
India,IND,1919,42974096
India,IND,1920,34867452
India,IND,1921,37504950
India,IND,1922,36902812
India,IND,1923,37971310
India,IND,1924,40627332
India,IND,1925,40084310
India,IND,1926,39941964
India,IND,1927,41883140
India,IND,1928,40072296
India,IND,1929,41707188
India,IND,1930,42398796
India,IND,1931,38850388
India,IND,1932,36128884
India,IND,1933,35466760
India,IND,1934,39610384
India,IND,1935,41392524
India,IND,1936,40683816
India,IND,1937,45066548
India,IND,1938,50378828
India,IND,1939,49311412
India,IND,1940,52308668
India,IND,1941,53580236
India,IND,1942,53528676
India,IND,1943,46643676
India,IND,1944,47695224
India,IND,1945,52873180
India,IND,1946,52224150
India,IND,1947,53179404
India,IND,1948,53203210
India,IND,1949,56186924
India,IND,1950,60942560
India,IND,1951,63805724
India,IND,1952,67249430
India,IND,1953,68607650
India,IND,1954,72306530
India,IND,1955,78693850
India,IND,1956,81618800
India,IND,1957,91617590
India,IND,1958,95801250
India,IND,1959,101436020
India,IND,1960,111320210
India,IND,1961,120399360
India,IND,1962,132579760
India,IND,1963,142438960
India,IND,1964,139483200
India,IND,1965,153696700
India,IND,1966,159371420
India,IND,1967,159557100
India,IND,1968,174070540
India,IND,1969,177411300
India,IND,1970,181723860
India,IND,1971,191964860
India,IND,1972,203037040
India,IND,1973,209096030
India,IND,1974,215854050
India,IND,1975,234209710
India,IND,1976,244749840
India,IND,1977,258962060
India,IND,1978,263149940
India,IND,1979,276285000
India,IND,1980,291714430
India,IND,1981,314969280
India,IND,1982,325383070
India,IND,1983,352204860
India,IND,1984,361568800
India,IND,1985,397601120
India,IND,1986,426318050
India,IND,1987,455354720
India,IND,1988,491700100
India,IND,1989,540661900
India,IND,1990,577986560
India,IND,1991,615388160
India,IND,1992,655423550
India,IND,1993,677262100
India,IND,1994,714042800
India,IND,1995,760480200
India,IND,1996,823602200
India,IND,1997,857975740
India,IND,1998,875783360
India,IND,1999,961193860
India,IND,2000,987065100
India,IND,2001,1001198400
India,IND,2002,1032750340
India,IND,2003,1068397950
India,IND,2004,1134611000
India,IND,2005,1195393300
India,IND,2006,1293321500
India,IND,2007,1393485200
India,IND,2008,1490366500
India,IND,2009,1613327600
India,IND,2010,1678529500
India,IND,2011,1765694800
India,IND,2012,1926986400
India,IND,2013,1995337200
India,IND,2014,2148052000
India,IND,2015,2231817500
India,IND,2016,2352540200
India,IND,2017,2425721900
India,IND,2018,2595227100
India,IND,2019,2611174700
India,IND,2020,2422732000
India,IND,2021,2675778000
India,IND,2022,2831131600
India,IND,2023,3062756400
India,IND,2024,3193478100
United Kingdom,GBR,1750,9305937
United Kingdom,GBR,1751,9407229
United Kingdom,GBR,1752,9505168
United Kingdom,GBR,1753,9610490
United Kingdom,GBR,1754,9733580
United Kingdom,GBR,1755,9793468
United Kingdom,GBR,1756,9909914
United Kingdom,GBR,1757,10093936
United Kingdom,GBR,1758,10216358
United Kingdom,GBR,1759,10338854
United Kingdom,GBR,1760,10514331
United Kingdom,GBR,1761,10747885
United Kingdom,GBR,1762,10952198
United Kingdom,GBR,1763,11191592
United Kingdom,GBR,1764,11396982
United Kingdom,GBR,1765,11643486
United Kingdom,GBR,1766,11876080
United Kingdom,GBR,1767,12152509
United Kingdom,GBR,1768,12466936
United Kingdom,GBR,1769,12780074
United Kingdom,GBR,1770,13097216
United Kingdom,GBR,1771,13369488
United Kingdom,GBR,1772,13623507
United Kingdom,GBR,1773,13808138
United Kingdom,GBR,1774,14012415
United Kingdom,GBR,1775,14338920
United Kingdom,GBR,1776,14654124
United Kingdom,GBR,1777,14959537
United Kingdom,GBR,1778,15243483
United Kingdom,GBR,1779,15535235
United Kingdom,GBR,1780,15878726
United Kingdom,GBR,1781,16234383
United Kingdom,GBR,1782,16580954
United Kingdom,GBR,1783,17062752
United Kingdom,GBR,1784,17471092
United Kingdom,GBR,1785,17961464
United Kingdom,GBR,1786,18443832
United Kingdom,GBR,1787,18855466
United Kingdom,GBR,1788,19282564
United Kingdom,GBR,1789,19859760
United Kingdom,GBR,1790,20394430
United Kingdom,GBR,1791,20928086
United Kingdom,GBR,1792,21456558
United Kingdom,GBR,1793,21813614
United Kingdom,GBR,1794,22072648
United Kingdom,GBR,1795,21864574
United Kingdom,GBR,1796,21582768
United Kingdom,GBR,1797,21536814
United Kingdom,GBR,1798,22527018
United Kingdom,GBR,1799,26855000
United Kingdom,GBR,1800,31340080
United Kingdom,GBR,1801,30736626
United Kingdom,GBR,1802,30377368
United Kingdom,GBR,1803,28241450
United Kingdom,GBR,1804,27790074
United Kingdom,GBR,1805,29295006
United Kingdom,GBR,1806,30908602
United Kingdom,GBR,1807,32583656
United Kingdom,GBR,1808,33701640
United Kingdom,GBR,1809,34522536
United Kingdom,GBR,1810,35402028
United Kingdom,GBR,1811,36155070
United Kingdom,GBR,1812,36741616
United Kingdom,GBR,1813,37359772
United Kingdom,GBR,1814,38181804
United Kingdom,GBR,1815,39019170
United Kingdom,GBR,1816,39265496
United Kingdom,GBR,1817,41766344
United Kingdom,GBR,1818,43769000
United Kingdom,GBR,1819,43316496
United Kingdom,GBR,1820,42567188
United Kingdom,GBR,1821,43493436
United Kingdom,GBR,1822,45073956
United Kingdom,GBR,1823,46676420
United Kingdom,GBR,1824,48136788
United Kingdom,GBR,1825,49563788
United Kingdom,GBR,1826,50101644
United Kingdom,GBR,1827,52047628
United Kingdom,GBR,1828,52630228
United Kingdom,GBR,1829,53242880
United Kingdom,GBR,1830,67724220
United Kingdom,GBR,1831,64486136
