Entity,Code,Year,Share of electricity from low-carbon sources
Germany,DEU,1998,33.958416
Germany,DEU,1999,36.17711
Germany,DEU,2000,36.0348
Germany,DEU,2001,36.13155
Germany,DEU,2002,35.858913
Germany,DEU,2003,35.169342
Germany,DEU,2004,36.91601
Germany,DEU,2005,36.925682
Germany,DEU,2006,38.05617
Germany,DEU,2007,36.439552
Germany,DEU,2008,38.40959
Germany,DEU,2009,39.290085
Germany,DEU,2010,39.405006
Germany,DEU,2011,38.413223
Germany,DEU,2012,39.182976
Germany,DEU,2013,39.581383
Germany,DEU,2014,41.868282
Germany,DEU,2015,43.79586
Germany,DEU,2016,42.67365
Germany,DEU,2017,45.30925
Germany,DEU,2018,47.278103
Germany,DEU,2019,52.698757
Germany,DEU,2020,55.733566
Germany,DEU,2021,52.11029
Germany,DEU,2022,50.495697
Germany,DEU,2023,56.109886
Germany,DEU,2024,58.64231
Germany,DEU,2025,59.09245
India,IND,1985,30.217337
India,IND,1986,28.414248
India,IND,1987,24.26951
India,IND,1988,25.151453
India,IND,1989,24.735662
India,IND,1990,25.319403
India,IND,1991,24.82095
India,IND,1992,22.741083
India,IND,1993,21.344927
India,IND,1994,22.096981
India,IND,1995,19.80499
India,IND,1996,17.847122
India,IND,1997,17.533396
India,IND,1998,19.280458
India,IND,1999,17.925135
India,IND,2000,16.808134
India,IND,2001,16.222763
India,IND,2002,15.112197
India,IND,2003,14.537789
India,IND,2004,18.68198
India,IND,2005,17.770964
India,IND,2006,19.503513
India,IND,2007,20.041193
India,IND,2008,18.60673
India,IND,2009,17.08
India,IND,2010,17.579214
India,IND,2011,19.776815
India,IND,2012,17.91312
India,IND,2013,18.953236
India,IND,2014,18.52655
India,IND,2015,17.548223
India,IND,2016,17.154982
India,IND,2017,18.00956
India,IND,2018,18.778355
India,IND,2019,20.437483
India,IND,2020,21.860268
India,IND,2021,21.407381
India,IND,2022,22.749514
India,IND,2023,21.799444
India,IND,2024,22.493763
India,IND,2025,26.653053
Sweden,SWE,1985,95.78314
Sweden,SWE,1986,95.830536
Sweden,SWE,1987,96.338295
Sweden,SWE,1988,96.66485
Sweden,SWE,1989,97.52325
Sweden,SWE,1990,97.70517
Sweden,SWE,1991,96.5299
Sweden,SWE,1992,95.87474
Sweden,SWE,1993,95.18794
Sweden,SWE,1994,94.29572
Sweden,SWE,1995,94.73968
Sweden,SWE,1996,91.22395
Sweden,SWE,1997,95.141075
Sweden,SWE,1998,95.522385
Sweden,SWE,1999,95.54379
Sweden,SWE,2000,96.71556
Sweden,SWE,2001,96.18192
Sweden,SWE,2002,94.92842
Sweden,SWE,2003,93.17527
Sweden,SWE,2004,96.113754
Sweden,SWE,2005,96.994194
Sweden,SWE,2006,96.34282
Sweden,SWE,2007,97.02996
Sweden,SWE,2008,96.9313
Sweden,SWE,2009,96.61785
Sweden,SWE,2010,94.25396
Sweden,SWE,2011,96.19377
Sweden,SWE,2012,97.54266
Sweden,SWE,2013,97.46455
Sweden,SWE,2014,98.09196
Sweden,SWE,2015,98.05556
Sweden,SWE,2016,97.65219
Sweden,SWE,2017,97.88711
Sweden,SWE,2018,97.759544
Sweden,SWE,2019,98.01093
Sweden,SWE,2020,98.51019
Sweden,SWE,2021,98.21865
Sweden,SWE,2022,98.33574
Sweden,SWE,2023,98.59681
Sweden,SWE,2024,98.791756
Sweden,SWE,2025,98.781555
United Kingdom,GBR,1985,21.822412
United Kingdom,GBR,1986,21.20706
United Kingdom,GBR,1987,19.66979
United Kingdom,GBR,1988,22.129559
United Kingdom,GBR,1989,24.321344
United Kingdom,GBR,1990,22.354965
United Kingdom,GBR,1991,23.470018
United Kingdom,GBR,1992,25.890856
United Kingdom,GBR,1993,29.423418
United Kingdom,GBR,1994,29.17075
United Kingdom,GBR,1995,28.344496
United Kingdom,GBR,1996,28.603188
United Kingdom,GBR,1997,30.036787
United Kingdom,GBR,1998,29.814453
United Kingdom,GBR,1999,28.453077
United Kingdom,GBR,2000,25.186974
United Kingdom,GBR,2001,25.89339
United Kingdom,GBR,2002,25.557795
United Kingdom,GBR,2003,24.95668
United Kingdom,GBR,2004,23.898252
United Kingdom,GBR,2005,24.739552
United Kingdom,GBR,2006,23.548218
United Kingdom,GBR,2007,20.843729
United Kingdom,GBR,2008,19.135645
United Kingdom,GBR,2009,25.039812
United Kingdom,GBR,2010,23.116789
United Kingdom,GBR,2011,28.31209
United Kingdom,GBR,2012,30.684036
United Kingdom,GBR,2013,34.559563
United Kingdom,GBR,2014,37.937767
United Kingdom,GBR,2015,45.356625
United Kingdom,GBR,2016,45.621796
United Kingdom,GBR,2017,50.035477
United Kingdom,GBR,2018,52.492805
United Kingdom,GBR,2019,53.766922
United Kingdom,GBR,2020,59.255558
United Kingdom,GBR,2021,54.75479
United Kingdom,GBR,2022,56.214188
United Kingdom,GBR,2023,60.25707
United Kingdom,GBR,2024,64.931725
United Kingdom,GBR,2025,64.417915
United States,USA,1985,27.378084
United States,USA,1986,28.830044
United States,USA,1987,28.039835
United States,USA,1988,28.324331
United States,USA,1989,27.989052
United States,USA,1990,29.700468
United States,USA,1991,30.456316
United States,USA,1992,29.561352
United States,USA,1993,29.139284
United States,USA,1994,29.02471
United States,USA,1995,30.472076
United States,USA,1996,30.748167
United States,USA,1997,29.25908
United States,USA,1998,28.539991
United States,USA,1999,29.336617
United States,USA,2000,29.05815
United States,USA,2001,28.138706
United States,USA,2002,29.040928
United States,USA,2003,28.765245
United States,USA,2004,28.686346
United States,USA,2005,28.129686
United States,USA,2006,28.870703
United States,USA,2007,27.86507
United States,USA,2008,28.808554
United States,USA,2009,30.823997
United States,USA,2010,29.93359
United States,USA,2011,31.792156
United States,USA,2012,31.223783
United States,USA,2013,32.28614
United States,USA,2014,32.81242
United States,USA,2015,33.14577
United States,USA,2016,34.998875
United States,USA,2017,37.315506
United States,USA,2018,36.659092
United States,USA,2019,37.75918
United States,USA,2020,39.851803
United States,USA,2021,39.51324
United States,USA,2022,40.34813
United States,USA,2023,40.894375
United States,USA,2024,41.869316
United States,USA,2025,43.001553
World,OWID_WRL,1985,35.87822
World,OWID_WRL,1986,36.20943
World,OWID_WRL,1987,36.17076
World,OWID_WRL,1988,36.659523
World,OWID_WRL,1989,35.51378
World,OWID_WRL,1990,35.785595
World,OWID_WRL,1991,36.258537
World,OWID_WRL,1992,36.12801
World,OWID_WRL,1993,37.048046
World,OWID_WRL,1994,36.60202
World,OWID_WRL,1995,37.07608
World,OWID_WRL,1996,36.848526
World,OWID_WRL,1997,36.278244
World,OWID_WRL,1998,35.814777
World,OWID_WRL,1999,35.661648
World,OWID_WRL,2000,35.34366
World,OWID_WRL,2001,34.90226
World,OWID_WRL,2002,34.44846
World,OWID_WRL,2003,33.0846
World,OWID_WRL,2004,33.597206
World,OWID_WRL,2005,33.133415
World,OWID_WRL,2006,32.88738
World,OWID_WRL,2007,31.68724
World,OWID_WRL,2008,32.31287
World,OWID_WRL,2009,32.78876
World,OWID_WRL,2010,32.540028
World,OWID_WRL,2011,31.896461
World,OWID_WRL,2012,31.779793
World,OWID_WRL,2013,32.28668
World,OWID_WRL,2014,32.784885
World,OWID_WRL,2015,33.519924
World,OWID_WRL,2016,34.143295
World,OWID_WRL,2017,34.662735
World,OWID_WRL,2018,35.135006
World,OWID_WRL,2019,36.335487
World,OWID_WRL,2020,37.89754
World,OWID_WRL,2021,37.877045
World,OWID_WRL,2022,38.597836
World,OWID_WRL,2023,39.41701
World,OWID_WRL,2024,40.913757
World,OWID_WRL,2025,42.609562
