Entity,Code,Year,Population
Asia,OWID_ASI,1866,809642614
Asia,OWID_ASI,1867,809796645
Asia,OWID_ASI,1868,809979613
Asia,OWID_ASI,1869,810619596
Asia,OWID_ASI,1870,811727086
Asia,OWID_ASI,1871,813281475
Asia,OWID_ASI,1872,815307566
Asia,OWID_ASI,1873,817774457
Asia,OWID_ASI,1874,820245876
Asia,OWID_ASI,1875,822748807
Asia,OWID_ASI,1876,825262338
Asia,OWID_ASI,1877,827756319
Asia,OWID_ASI,1878,830246401
Asia,OWID_ASI,1879,833177921
Asia,OWID_ASI,1880,836588561
Asia,OWID_ASI,1881,840498338
Asia,OWID_ASI,1882,844908026
Asia,OWID_ASI,1883,849808775
Asia,OWID_ASI,1884,854759869
Asia,OWID_ASI,1885,859815828
Asia,OWID_ASI,1886,864895539
Asia,OWID_ASI,1887,870044849
Asia,OWID_ASI,1888,875235619
Asia,OWID_ASI,1889,880253270
Asia,OWID_ASI,1890,885113714
Asia,OWID_ASI,1891,889769283
Asia,OWID_ASI,1892,894234392
Asia,OWID_ASI,1893,898513802
Asia,OWID_ASI,1894,902847416
Asia,OWID_ASI,1895,907247338
Asia,OWID_ASI,1896,911649066
Asia,OWID_ASI,1897,916108835
Asia,OWID_ASI,1898,920604531
Asia,OWID_ASI,1899,925586618
Asia,OWID_ASI,1900,931021418
Asia,OWID_ASI,1901,936902660
Asia,OWID_ASI,1902,943255046
Asia,OWID_ASI,1903,950069951
Asia,OWID_ASI,1904,956950596
Asia,OWID_ASI,1905,963899803
Asia,OWID_ASI,1906,970921559
Asia,OWID_ASI,1907,978034978
Asia,OWID_ASI,1908,985241824
Asia,OWID_ASI,1909,992474216
Asia,OWID_ASI,1910,999734197
Asia,OWID_ASI,1911,1006983059
Asia,OWID_ASI,1912,1014336227
Asia,OWID_ASI,1913,1021733426
Asia,OWID_ASI,1914,1029237086
Asia,OWID_ASI,1915,1036849812
Asia,OWID_ASI,1916,1044516276
Asia,OWID_ASI,1917,1052212325
Asia,OWID_ASI,1918,1060455454
Asia,OWID_ASI,1919,1068676253
Asia,OWID_ASI,1920,1076882587
Asia,OWID_ASI,1921,1084965328
Asia,OWID_ASI,1922,1092913940
Asia,OWID_ASI,1923,1100750146
Asia,OWID_ASI,1924,1108723191
Asia,OWID_ASI,1925,1116816909
Asia,OWID_ASI,1926,1125041494
Asia,OWID_ASI,1927,1133396748
Asia,OWID_ASI,1928,1141888360
Asia,OWID_ASI,1929,1151215839
Asia,OWID_ASI,1930,1161422369
Asia,OWID_ASI,1931,1172523816
Asia,OWID_ASI,1932,1184512344
Asia,OWID_ASI,1933,1197356574
Asia,OWID_ASI,1934,1210362883
Asia,OWID_ASI,1935,1223537795
Asia,OWID_ASI,1936,1236977246
Asia,OWID_ASI,1937,1250648056
Asia,OWID_ASI,1938,1264656203
Asia,OWID_ASI,1939,1277274161
Asia,OWID_ASI,1940,1288504299
Asia,OWID_ASI,1941,1298273758
Asia,OWID_ASI,1942,1306646043
Asia,OWID_ASI,1943,1313426824
Asia,OWID_ASI,1944,1319919244
Asia,OWID_ASI,1945,1326525660
Asia,OWID_ASI,1946,1333534094
Asia,OWID_ASI,1947,1341255487
Asia,OWID_ASI,1948,1349532425
Asia,OWID_ASI,1949,1362069888
Asia,OWID_ASI,1950,1367581793
Asia,OWID_ASI,1951,1394310207
Asia,OWID_ASI,1952,1423932566
Asia,OWID_ASI,1953,1455634309
Asia,OWID_ASI,1954,1488418592
Asia,OWID_ASI,1955,1523146415
Asia,OWID_ASI,1956,1558262821
Asia,OWID_ASI,1957,1594675233
Asia,OWID_ASI,1958,1631866795
Asia,OWID_ASI,1959,1664697447
Asia,OWID_ASI,1960,1691762696
Asia,OWID_ASI,1961,1718156557
Asia,OWID_ASI,1962,1753318905
Asia,OWID_ASI,1963,1799305125
Asia,OWID_ASI,1964,1847441778
Asia,OWID_ASI,1965,1894030104
Asia,OWID_ASI,1966,1940186408
Asia,OWID_ASI,1967,1986308215
Asia,OWID_ASI,1968,2034769710
Asia,OWID_ASI,1969,2085428639
Asia,OWID_ASI,1970,2136911807
Asia,OWID_ASI,1971,2187672732
Asia,OWID_ASI,1972,2237825630
Asia,OWID_ASI,1973,2288852583
Asia,OWID_ASI,1974,2339398095
Asia,OWID_ASI,1975,2388510805
Asia,OWID_ASI,1976,2436467535
Asia,OWID_ASI,1977,2484229185
Asia,OWID_ASI,1978,2531837746
Asia,OWID_ASI,1979,2580755587
Asia,OWID_ASI,1980,2631643580
Asia,OWID_ASI,1981,2683999130
Asia,OWID_ASI,1982,2738669570
Asia,OWID_ASI,1983,2794057018
Asia,OWID_ASI,1984,2849479886
Asia,OWID_ASI,1985,2906232641
Asia,OWID_ASI,1986,2964898217
Asia,OWID_ASI,1987,3025641753
Asia,OWID_ASI,1988,3086642989
Asia,OWID_ASI,1989,3147693773
Asia,OWID_ASI,1990,3209094423
Asia,OWID_ASI,1991,3268207608
Asia,OWID_ASI,1992,3324812378
Asia,OWID_ASI,1993,3380039932
Asia,OWID_ASI,1994,3433680236
Asia,OWID_ASI,1995,3486817949
Asia,OWID_ASI,1996,3539849816
Asia,OWID_ASI,1997,3592367920
Asia,OWID_ASI,1998,3644341780
Asia,OWID_ASI,1999,3695620583
Asia,OWID_ASI,2000,3746832777
Asia,OWID_ASI,2001,3797954107
Asia,OWID_ASI,2002,3847359674
Asia,OWID_ASI,2003,3895799439
Asia,OWID_ASI,2004,3944378395
Asia,OWID_ASI,2005,3992890580
Asia,OWID_ASI,2006,4041771416
Asia,OWID_ASI,2007,4090564345
Asia,OWID_ASI,2008,4139267468
Asia,OWID_ASI,2009,4188829464
Asia,OWID_ASI,2010,4238694946
Asia,OWID_ASI,2011,4288350005
Asia,OWID_ASI,2012,4338443538
Asia,OWID_ASI,2013,4387757369
Asia,OWID_ASI,2014,4435744576
Asia,OWID_ASI,2015,4482088489
Asia,OWID_ASI,2016,4527178153
Asia,OWID_ASI,2017,4571224645
Asia,OWID_ASI,2018,4612352852
Asia,OWID_ASI,2019,4651098724
Asia,OWID_ASI,2020,4686811214
Asia,OWID_ASI,2021,4716999164
Asia,OWID_ASI,2022,4746329727
Asia,OWID_ASI,2023,4776659631
Europe,OWID_EUR,-10000,481591
Europe,OWID_EUR,-9000,589393
Europe,OWID_EUR,-8000,730273
Europe,OWID_EUR,-7000,918733
Europe,OWID_EUR,-6000,1213808
Europe,OWID_EUR,-5000,1609853
Europe,OWID_EUR,-4000,2362475
Europe,OWID_EUR,-3000,3673248
Europe,OWID_EUR,-2000,7190463
Europe,OWID_EUR,-1000,13127987
Europe,OWID_EUR,0,32221408
Europe,OWID_EUR,100,33691904
Europe,OWID_EUR,200,35099404
Europe,OWID_EUR,300,33721328
Europe,OWID_EUR,400,32352328
Europe,OWID_EUR,500,28556432
Europe,OWID_EUR,600,24619002
Europe,OWID_EUR,700,26911954
Europe,OWID_EUR,800,29519746
Europe,OWID_EUR,900,32844658
Europe,OWID_EUR,1000,36341940
Europe,OWID_EUR,1100,44633640
Europe,OWID_EUR,1200,61861512
Europe,OWID_EUR,1300,83293064
Europe,OWID_EUR,1400,60722988
Europe,OWID_EUR,1500,78614656
Europe,OWID_EUR,1600,101501416
Europe,OWID_EUR,1700,115422248
Europe,OWID_EUR,1710,124736784
Europe,OWID_EUR,1720,132044792
Europe,OWID_EUR,1730,139577232
Europe,OWID_EUR,1740,147164768
Europe,OWID_EUR,1750,154836912
Europe,OWID_EUR,1760,162638448
Europe,OWID_EUR,1770,170541600
Europe,OWID_EUR,1780,178972864
Europe,OWID_EUR,1790,187924112
Europe,OWID_EUR,1800,192912782
Europe,OWID_EUR,1801,193750450
Europe,OWID_EUR,1802,194597012
Europe,OWID_EUR,1803,195452580
Europe,OWID_EUR,1804,196317275
Europe,OWID_EUR,1805,197191213
Europe,OWID_EUR,1806,198074515
Europe,OWID_EUR,1807,198967310
Europe,OWID_EUR,1808,199869712
Europe,OWID_EUR,1809,200781854
Europe,OWID_EUR,1810,202103753
Europe,OWID_EUR,1811,203456362
Europe,OWID_EUR,1812,204986209
Europe,OWID_EUR,1813,206703281
Europe,OWID_EUR,1814,208490897
Europe,OWID_EUR,1815,210352083
Europe,OWID_EUR,1816,212290043
Europe,OWID_EUR,1817,214308142
Europe,OWID_EUR,1818,216409937
Europe,OWID_EUR,1819,218468206
Europe,OWID_EUR,1820,220472989
Europe,OWID_EUR,1821,222417514
Europe,OWID_EUR,1822,224286664
Europe,OWID_EUR,1823,226068409
Europe,OWID_EUR,1824,227880949
Europe,OWID_EUR,1825,229728262
Europe,OWID_EUR,1826,231655276
Europe,OWID_EUR,1827,233614865
Europe,OWID_EUR,1828,235607368
Europe,OWID_EUR,1829,237592446
Europe,OWID_EUR,1830,239569645
Europe,OWID_EUR,1831,241497938
Europe,OWID_EUR,1832,243402872
Europe,OWID_EUR,1833,245283810
Europe,OWID_EUR,1834,247180790
Europe,OWID_EUR,1835,249093936
Europe,OWID_EUR,1836,251023413
Europe,OWID_EUR,1837,252969360
Europe,OWID_EUR,1838,254931922
Europe,OWID_EUR,1839,256848770
Europe,OWID_EUR,1840,258719247
Europe,OWID_EUR,1841,260546766
Europe,OWID_EUR,1842,262326646
Europe,OWID_EUR,1843,264058221
Europe,OWID_EUR,1844,265803302
Europe,OWID_EUR,1845,267562005
Europe,OWID_EUR,1846,269334442
Europe,OWID_EUR,1847,271120731
Europe,OWID_EUR,1848,272920981
Europe,OWID_EUR,1849,274744344
Europe,OWID_EUR,1850,276591094
Europe,OWID_EUR,1851,278448109
Europe,OWID_EUR,1852,280328983
Europe,OWID_EUR,1853,282233994
Europe,OWID_EUR,1854,284154408
Europe,OWID_EUR,1855,286090371
Europe,OWID_EUR,1856,288042015
Europe,OWID_EUR,1857,290009483
Europe,OWID_EUR,1858,291992923
Europe,OWID_EUR,1859,294017875
Europe,OWID_EUR,1860,296084867
Europe,OWID_EUR,1861,298188754
Europe,OWID_EUR,1862,300335672
Europe,OWID_EUR,1863,302526157
Europe,OWID_EUR,1864,304735322
Europe,OWID_EUR,1865,306963336
Europe,OWID_EUR,1866,309210382
Europe,OWID_EUR,1867,311476615
Europe,OWID_EUR,1868,313762238
Europe,OWID_EUR,1869,316101748
Europe,OWID_EUR,1870,318496223
Europe,OWID_EUR,1871,320895564
Europe,OWID_EUR,1872,323407827
Europe,OWID_EUR,1873,325978445
Europe,OWID_EUR,1874,328574180
Europe,OWID_EUR,1875,331195305
Europe,OWID_EUR,1876,333842087
Europe,OWID_EUR,1877,336514804
Europe,OWID_EUR,1878,339213731
Europe,OWID_EUR,1879,341933309
Europe,OWID_EUR,1880,344673453
Europe,OWID_EUR,1881,347431911
Europe,OWID_EUR,1882,350210746
Europe,OWID_EUR,1883,353009867
Europe,OWID_EUR,1884,355835126
Europe,OWID_EUR,1885,358686783
Europe,OWID_EUR,1886,361565119
Europe,OWID_EUR,1887,364470406
Europe,OWID_EUR,1888,367402912
Europe,OWID_EUR,1889,370377917
Europe,OWID_EUR,1890,373396202
Europe,OWID_EUR,1891,376467366
Europe,OWID_EUR,1892,379583540
Europe,OWID_EUR,1893,382745540
Europe,OWID_EUR,1894,385939052
Europe,OWID_EUR,1895,389164415
Europe,OWID_EUR,1896,392421980
Europe,OWID_EUR,1897,395712098
Europe,OWID_EUR,1898,399035122
Europe,OWID_EUR,1899,402422387
Europe,OWID_EUR,1900,405874841
Europe,OWID_EUR,1901,409398987
Europe,OWID_EUR,1902,412988802
Europe,OWID_EUR,1903,416646271
Europe,OWID_EUR,1904,420341408
Europe,OWID_EUR,1905,424074645
Europe,OWID_EUR,1906,427845429
Europe,OWID_EUR,1907,431657194
Europe,OWID_EUR,1908,435507397
Europe,OWID_EUR,1909,438821305
Europe,OWID_EUR,1910,441597178
Europe,OWID_EUR,1911,443794845
Europe,OWID_EUR,1912,445470705
Europe,OWID_EUR,1913,446604755
Europe,OWID_EUR,1914,447762304
Europe,OWID_EUR,1915,448886334
Europe,OWID_EUR,1916,449968840
Europe,OWID_EUR,1917,451046822
Europe,OWID_EUR,1918,452130279
Europe,OWID_EUR,1919,453717155
Europe,OWID_EUR,1920,455905600
Europe,OWID_EUR,1921,458527868
Europe,OWID_EUR,1922,461705219
Europe,OWID_EUR,1923,465327032
Europe,OWID_EUR,1924,468981053
Europe,OWID_EUR,1925,472684702
Europe,OWID_EUR,1926,476407402
Europe,OWID_EUR,1927,480148599
Europe,OWID_EUR,1928,483928725
Europe,OWID_EUR,1929,487657013
Europe,OWID_EUR,1930,491337000
Europe,OWID_EUR,1931,494970217
Europe,OWID_EUR,1932,498545108
Europe,OWID_EUR,1933,502059107
Europe,OWID_EUR,1934,505598856
Europe,OWID_EUR,1935,509162668
Europe,OWID_EUR,1936,512751864
Europe,OWID_EUR,1937,516369757
Europe,OWID_EUR,1938,519992677
Europe,OWID_EUR,1939,523576813
Europe,OWID_EUR,1940,526706729
Europe,OWID_EUR,1941,529472974
Europe,OWID_EUR,1942,531916941
Europe,OWID_EUR,1943,534139002
Europe,OWID_EUR,1944,536489647
Europe,OWID_EUR,1945,538385925
Europe,OWID_EUR,1946,539563909
Europe,OWID_EUR,1947,541189671
Europe,OWID_EUR,1948,543672662
Europe,OWID_EUR,1949,546614350
Europe,OWID_EUR,1950,549374181
Europe,OWID_EUR,1951,554348783
Europe,OWID_EUR,1952,559311644
Europe,OWID_EUR,1953,564673451
Europe,OWID_EUR,1954,570282363
Europe,OWID_EUR,1955,575990558
Europe,OWID_EUR,1956,581712529
Europe,OWID_EUR,1957,587753658
Europe,OWID_EUR,1958,594196448
Europe,OWID_EUR,1959,600407992
Europe,OWID_EUR,1960,606417128
Europe,OWID_EUR,1961,612470905
Europe,OWID_EUR,1962,618430819
Europe,OWID_EUR,1963,624213769
Europe,OWID_EUR,1964,629781124
Europe,OWID_EUR,1965,635044327
Europe,OWID_EUR,1966,640050494
Europe,OWID_EUR,1967,644746163
Europe,OWID_EUR,1968,649263031
Europe,OWID_EUR,1969,653794042
