series,x,y
Russia,2008,34078
Russia,2009,31692
Russia,2010,32984
Russia,2011,34376
Russia,2012,35669
Russia,2013,36067
Russia,2014,35669
Russia,2015,34874
Russia,2016,34874
Russia,2017,35470
Russia,2018,36465
Russia,2019,37161
Russia,2020,36465
Russia,2021,38453
Russia,2022,38254
Russia,2023,39845
Russia,2024,41536
China,1990,1662
China,1991,1662
China,1992,1911
China,1993,2259
China,1994,2457
China,1995,2656
China,1996,3054
China,1997,3253
China,1998,3452
China,1999,3651
China,2000,4048
China,2001,4247
China,2002,4645
China,2003,5142
China,2004,5639
China,2005,6236
China,2006,7031
China,2007,7926
China,2008,8622
China,2009,9418
China,2010,10412
China,2011,11407
China,2012,12202
China,2013,12998
China,2014,13992
China,2015,14787
China,2016,15682
China,2017,16677
China,2018,17721
China,2019,18765
China,2020,19163
China,2021,20754
China,2022,21549
China,2023,22543
China,2024,23737
Brazil,1990,12600
Brazil,1991,12401
Brazil,1992,12202
Brazil,1993,12600
Brazil,1994,13196
Brazil,1995,13395
Brazil,1996,13594
Brazil,1997,13793
Brazil,1998,13594
Brazil,1999,13594
Brazil,2000,13893
Brazil,2001,13992
Brazil,2002,14191
Brazil,2003,14191
Brazil,2004,14787
Brazil,2005,15185
Brazil,2006,15583
Brazil,2007,16378
Brazil,2008,16975
Brazil,2009,16876
Brazil,2010,17969
Brazil,2011,18566
Brazil,2012,18765
Brazil,2013,19163
Brazil,2014,19063
Brazil,2015,18268
Brazil,2016,17572
Brazil,2017,17572
Brazil,2018,17771
Brazil,2019,17969
Brazil,2020,17273
Brazil,2021,17969
Brazil,2022,18566
Brazil,2023,18964
Brazil,2024,19560
India,1990,2060
India,1991,2159
India,1992,2259
India,1993,2159
India,1994,2060
India,1995,2259
India,1996,2457
India,1997,2656
India,1998,2756
India,1999,2955
India,2000,3054
India,2001,3054
India,2002,3153
India,2003,3352
India,2004,3651
India,2005,3850
India,2006,4048
India,2007,4247
India,2008,4446
India,2009,4645
India,2010,5043
India,2011,5142
India,2012,5440
India,2013,5639
India,2014,6037
India,2015,6435
India,2016,6833
India,2017,7230
India,2018,7628
India,2019,7827
India,2020,7429
India,2021,8026
India,2022,8424
India,2023,9219
India,2024,9617
Ethiopia,1990,767
Ethiopia,1991,668
Ethiopia,1992,668
Ethiopia,1993,668
Ethiopia,1994,668
Ethiopia,1995,668
Ethiopia,1996,767
Ethiopia,1997,668
Ethiopia,1998,668
Ethiopia,1999,668
Ethiopia,2000,668
Ethiopia,2001,767
Ethiopia,2002,767
Ethiopia,2003,668
Ethiopia,2004,866
Ethiopia,2005,866
Ethiopia,2006,966
Ethiopia,2007,1065
Ethiopia,2008,1065
Ethiopia,2009,1165
Ethiopia,2010,1264
Ethiopia,2011,1463
Ethiopia,2012,1463
Ethiopia,2013,1662
Ethiopia,2014,1761
Ethiopia,2015,1861
Ethiopia,2016,2060
Ethiopia,2017,2109
Ethiopia,2018,2259
Ethiopia,2019,2358
Ethiopia,2020,2457
Ethiopia,2021,2457
Ethiopia,2022,2656
Ethiopia,2023,2656
Ethiopia,2024,2855
