layer_idx,layer_type,series,x,y,marker_type,color,error_x_plus,error_x_minus,error_y_plus,error_y_minus
0,Scatter Plot,30°C,0.6099,19,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.6108,19.667,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.6208,21.028,diamond,#FF0000,,,,
0,Scatter Plot,24°C,0.0744,6.915,circle,#0000FF,,,,
0,Scatter Plot,27°C,0.6452,0.248,square,#008000,,,,
0,Scatter Plot,24°C,0.3082,8.356,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3447,14.191,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3447,14.662,circle,#0000FF,,,,
0,Scatter Plot,24°C,0.3576,15.161,circle,#0000FF,,,,
0,Scatter Plot,30°C,0.5884,16.995,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.5884,17.661,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.6104,18.326,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.6111,20.376,diamond,#FF0000,,,,
0,Scatter Plot,30°C,0.621,21.734,diamond,#FF0000,,,,
0,Scatter Plot,27°C,0.6823,23.524,square,#008000,,,,
0,Scatter Plot,27°C,0.658,23.413,square,#008000,,,,
0,Scatter Plot,27°C,0.5761,20.975,square,#008000,,,,
1,Line Graph,IF for 24°C,0,5.693,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.1015,7.112,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.2023,8.806,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.3,10.861,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.3924,13.194,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.4803,15.943,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.5757,19.525,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.5999,20.443,none,#0000FF,,,,
1,Line Graph,IF for 27°C,0,17.471,none,#008000,,,,
1,Line Graph,IF for 30°C,0,7.389,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.1,8.5,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.2008,9.917,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.3046,11.467,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.4137,13.412,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.522,15.723,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.647,18.883,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.7243,21.058,none,#FF0000,,,,
1,Line Graph,IF for 24°C,0.0584,6.471,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.1548,7.968,none,#0000FF,,,,
1,Line Graph,IF for 30°C,0.0599,8.079,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.1472,9.215,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.2346,10.379,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.2525,10.667,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.2805,11.11,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.3277,11.936,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.3596,12.49,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.3876,12.933,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.4362,13.904,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.4627,14.485,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.4897,15.028,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.5573,16.63,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.6193,18.132,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.6868,19.961,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.7543,22.011,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.7847,22.953,none,#FF0000,,,,
1,Line Graph,IF for 30°C,0.8006,23.507,none,#FF0000,,,,
1,Line Graph,IF for 27°C,0.7713,24.505,none,#008000,,,,
1,Line Graph,IF for 24°C,0.5438,18.27,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.5134,17.079,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.4451,14.834,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.4178,13.92,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.3291,11.526,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.2452,9.642,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.2232,9.198,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.1787,8.378,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.1267,7.513,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.0222,5.945,none,#0000FF,,,,
1,Line Graph,IF for 24°C,0.274,10.24,none,#0000FF,,,,
