Entity,Code,Year,Share of the population using the Internet
Sub-Saharan Africa (WB),WB_SSA,2022,31.1
Sub-Saharan Africa (WB),WB_SSA,2023,32.3
Sub-Saharan Africa (WB),WB_SSA,2024,33.6
Sub-Saharan Africa (WB),WB_SSA,2025,35.7
World,OWID_WRL,2005,15.6
World,OWID_WRL,2006,17.2
World,OWID_WRL,2007,20.2
World,OWID_WRL,2008,22.8
World,OWID_WRL,2009,25.3
World,OWID_WRL,2010,28.4
World,OWID_WRL,2011,30.9
World,OWID_WRL,2012,33.3
World,OWID_WRL,2013,35.3
World,OWID_WRL,2014,37.4
World,OWID_WRL,2015,39.9
World,OWID_WRL,2016,43.6
World,OWID_WRL,2017,46.3
World,OWID_WRL,2018,49.4
World,OWID_WRL,2019,53.9
World,OWID_WRL,2020,60.1
World,OWID_WRL,2021,63.8
World,OWID_WRL,2022,67
World,OWID_WRL,2023,69.2
World,OWID_WRL,2024,71.2
World,OWID_WRL,2025,73.6
