series,x,y
p_curve_p curve for 24°C,18.4262,0.967039
p_curve_p curve for 24°C,18.5959,0.967039
p_curve_p curve for 24°C,18.7655,0.967136
p_curve_p curve for 24°C,18.9352,0.96733
p_curve_p curve for 24°C,19.1048,0.96733
p_curve_p curve for 24°C,19.2745,0.967427
p_curve_p curve for 24°C,19.4441,0.967524
p_curve_p curve for 24°C,19.6137,0.967621
p_curve_p curve for 24°C,19.7834,0.967718
p_curve_p curve for 24°C,19.953,0.967815
p_curve_p curve for 24°C,20.1227,0.967912
p_curve_p curve for 24°C,20.2923,0.968009
p_curve_p curve for 24°C,20.5185,0.968106
p_curve_p curve for 24°C,20.6881,0.968203
p_curve_p curve for 24°C,20.8578,0.9683
p_curve_p curve for 24°C,21.0274,0.968397
p_curve_p curve for 24°C,21.197,0.968494
p_curve_p curve for 24°C,21.3667,0.968688
p_curve_p curve for 24°C,21.5363,0.968591
p_curve_p curve for 24°C,21.9887,0.968785
p_curve_p curve for 24°C,22.1583,0.968979
p_curve_p curve for 24°C,22.328,0.969076
p_curve_p curve for 24°C,23.1196,0.969464
p_curve_p curve for 24°C,23.2893,0.969561
p_curve_p curve for 24°C,24.0244,0.969367
p_curve_p curve for 24°C,24.194,0.969949
p_curve_p curve for 24°C,24.4202,0.970143
p_curve_p curve for 24°C,24.6464,0.97024
p_curve_p curve for 24°C,24.9291,0.970337
p_curve_p curve for 24°C,25.0988,0.970337
p_curve_p curve for 24°C,25.2684,0.970434
p_curve_p curve for 24°C,25.4381,0.970531
p_curve_p curve for 24°C,25.6077,0.970531
p_curve_p curve for 24°C,25.7774,0.970628
p_curve_p curve for 24°C,25.947,0.970725
p_curve_p curve for 24°C,26.1166,0.970822
p_curve_p curve for 24°C,26.2863,0.970822
p_curve_p curve for 24°C,26.5125,0.969367
p_curve_p curve for 24°C,26.6821,0.969561
p_curve_p curve for 24°C,26.8517,0.969561
p_curve_p curve for 24°C,27.0214,0.969658
p_curve_p curve for 24°C,27.191,0.969852
p_curve_p curve for 24°C,27.3607,0.970046
p_curve_p curve for 24°C,27.5303,0.969949
p_curve_p curve for 24°C,27.7565,0.969755
p_curve_p curve for 24°C,27.9261,0.969755
p_curve_p curve for 24°C,28.0958,0.970046
p_curve_p curve for 24°C,28.2654,0.970531
p_curve_p curve for 24°C,28.4351,0.970628
p_curve_p curve for 24°C,28.6047,0.970725
p_curve_p curve for 24°C,28.7743,0.970822
p_curve_p curve for 24°C,29.0005,0.970919
p_curve_p curve for 24°C,29.1702,0.971113
p_curve_p curve for 24°C,29.3398,0.97121
p_curve_p curve for 24°C,29.5095,0.97121
p_curve_p curve for 24°C,29.6791,0.971404
p_curve_p curve for 24°C,29.9053,0.971501
p_curve_p curve for 24°C,30.0749,0.971598
p_curve_p curve for 24°C,30.2446,0.971695
p_curve_p curve for 24°C,30.4142,0.971889
p_curve_p curve for 24°C,30.6404,0.971986
p_curve_p curve for 24°C,30.81,0.971986
p_curve_p curve for 24°C,30.9797,0.972083
p_curve_p curve for 24°C,31.1493,0.972277
p_curve_p curve for 24°C,31.319,0.972762
p_curve_p curve for 24°C,31.4886,0.972277
p_curve_p curve for 24°C,31.7148,0.97412
p_curve_p curve for 24°C,31.8844,0.97412
p_curve_p curve for 24°C,32.0541,0.973732
p_curve_p curve for 24°C,32.2237,0.974217
p_curve_p curve for 24°C,32.3934,0.974314
p_curve_p curve for 24°C,32.563,0.974023
p_curve_p curve for 24°C,32.7326,0.973926
p_curve_p curve for 24°C,32.9023,0.974217
p_curve_p curve for 24°C,33.0719,0.973829
p_curve_p curve for 24°C,33.2416,0.974314
p_curve_p curve for 24°C,33.4112,0.974314
p_curve_p curve for 24°C,33.5808,0.973829
p_curve_p curve for 24°C,33.807,0.973635
p_curve_p curve for 24°C,33.9767,0.973732
p_curve_p curve for 24°C,34.1463,0.97412
p_curve_p curve for 24°C,34.316,0.974411
p_curve_p curve for 24°C,34.4856,0.974508
p_curve_p curve for 24°C,35.1642,0.974314
p_curve_p curve for 24°C,35.3338,0.974411
p_curve_p curve for 24°C,35.5034,0.974411
p_curve_p curve for 24°C,35.6731,0.974411
p_curve_p curve for 24°C,35.8427,0.974896
p_curve_p curve for 24°C,36.1255,0.973829
p_curve_p curve for 24°C,36.2951,0.973829
p_curve_p curve for 27°C,2.0276,0.963838
p_curve_p curve for 27°C,2.1407,0.964032
p_curve_p curve for 27°C,2.3103,0.964323
p_curve_p curve for 27°C,2.48,0.964517
p_curve_p curve for 27°C,2.6496,0.964711
p_curve_p curve for 27°C,2.8193,0.964905
p_curve_p curve for 27°C,2.9889,0.965196
p_curve_p curve for 27°C,3.1586,0.96539
p_curve_p curve for 27°C,3.3282,0.965584
p_curve_p curve for 27°C,3.4978,0.965778
p_curve_p curve for 27°C,3.6675,0.966069
p_curve_p curve for 27°C,3.8371,0.966263
p_curve_p curve for 27°C,4.0068,0.966457
p_curve_p curve for 27°C,4.1764,0.966554
p_curve_p curve for 27°C,4.346,0.966748
p_curve_p curve for 27°C,4.5157,0.966845
p_curve_p curve for 27°C,4.6853,0.966942
p_curve_p curve for 27°C,4.855,0.967039
p_curve_p curve for 27°C,5.0246,0.967233
p_curve_p curve for 27°C,5.1942,0.96733
p_curve_p curve for 27°C,5.3639,0.967427
p_curve_p curve for 27°C,5.5335,0.967621
p_curve_p curve for 27°C,5.7032,0.967718
p_curve_p curve for 27°C,5.8728,0.967815
p_curve_p curve for 27°C,6.0425,0.967912
p_curve_p curve for 27°C,6.2121,0.968009
p_curve_p curve for 27°C,6.3817,0.968106
p_curve_p curve for 27°C,6.5514,0.968203
p_curve_p curve for 27°C,6.721,0.9683
p_curve_p curve for 27°C,6.8907,0.968397
p_curve_p curve for 27°C,7.0603,0.968494
p_curve_p curve for 27°C,7.2299,0.968591
p_curve_p curve for 27°C,7.3996,0.968688
p_curve_p curve for 27°C,7.5692,0.968785
p_curve_p curve for 27°C,7.7389,0.968882
p_curve_p curve for 27°C,7.9085,0.968979
p_curve_p curve for 27°C,8.0781,0.968979
p_curve_p curve for 27°C,8.2478,0.969076
p_curve_p curve for 27°C,8.4174,0.969173
p_curve_p curve for 27°C,8.5871,0.96927
p_curve_p curve for 27°C,8.7567,0.96927
p_curve_p curve for 27°C,8.9263,0.969367
p_curve_p curve for 27°C,9.096,0.969464
p_curve_p curve for 27°C,9.2656,0.969561
p_curve_p curve for 27°C,9.4353,0.969561
p_curve_p curve for 27°C,9.6049,0.969658
p_curve_p curve for 27°C,9.7746,0.969755
p_curve_p curve for 27°C,9.9442,0.969755
p_curve_p curve for 27°C,10.1138,0.969852
p_curve_p curve for 27°C,10.2835,0.969949
p_curve_p curve for 27°C,10.4531,0.969949
p_curve_p curve for 27°C,10.6228,0.970046
p_curve_p curve for 27°C,10.7924,0.970046
p_curve_p curve for 27°C,10.962,0.970143
p_curve_p curve for 27°C,11.1317,0.97024
p_curve_p curve for 27°C,11.3013,0.97024
p_curve_p curve for 27°C,11.471,0.970337
p_curve_p curve for 27°C,11.6406,0.970337
p_curve_p curve for 27°C,11.8102,0.970434
p_curve_p curve for 27°C,11.9799,0.970434
p_curve_p curve for 27°C,12.1495,0.970531
p_curve_p curve for 27°C,12.3192,0.970628
p_curve_p curve for 27°C,12.4888,0.970628
p_curve_p curve for 27°C,12.6585,0.970725
p_curve_p curve for 27°C,12.8281,0.970725
p_curve_p curve for 27°C,12.9977,0.970822
p_curve_p curve for 27°C,13.1674,0.970822
p_curve_p curve for 27°C,13.337,0.970919
p_curve_p curve for 27°C,13.5067,0.970919
p_curve_p curve for 27°C,13.6763,0.971016
p_curve_p curve for 27°C,13.8459,0.971016
p_curve_p curve for 27°C,14.0156,0.971113
p_curve_p curve for 27°C,14.1852,0.971113
p_curve_p curve for 27°C,14.3549,0.97121
p_curve_p curve for 27°C,14.5245,0.97121
p_curve_p curve for 27°C,14.6941,0.97121
p_curve_p curve for 27°C,14.8638,0.971307
p_curve_p curve for 27°C,15.0334,0.971307
p_curve_p curve for 27°C,15.2031,0.971404
p_curve_p curve for 27°C,15.3727,0.971501
p_curve_p curve for 27°C,15.5423,0.971501
p_curve_p curve for 27°C,15.712,0.971501
p_curve_p curve for 27°C,15.8816,0.971598
p_curve_p curve for 27°C,16.0513,0.971598
p_curve_p curve for 27°C,16.2209,0.971501
p_curve_p curve for 27°C,16.3906,0.971501
p_curve_p curve for 27°C,16.5602,0.971598
p_curve_p curve for 27°C,16.7298,0.971792
p_curve_p curve for 27°C,16.8995,0.971792
p_curve_p curve for 27°C,17.0691,0.972083
p_curve_p curve for 27°C,17.2388,0.972277
p_curve_p curve for 27°C,17.4084,0.972277
p_curve_p curve for 27°C,17.578,0.97218
p_curve_p curve for 27°C,17.7477,0.971986
p_curve_p curve for 27°C,17.9173,0.971986
p_curve_p curve for 27°C,18.087,0.972083
p_curve_p curve for 27°C,18.2566,0.971986
p_curve_p curve for 27°C,18.4828,0.971986
p_curve_p curve for 27°C,18.6524,0.972277
p_curve_p curve for 27°C,18.8221,0.97218
p_curve_p curve for 27°C,18.9917,0.97218
p_curve_p curve for 27°C,19.1614,0.972665
p_curve_p curve for 27°C,19.331,0.972762
p_curve_p curve for 27°C,19.5006,0.972665
p_curve_p curve for 27°C,19.6703,0.972277
p_curve_p curve for 27°C,19.8399,0.972374
p_curve_p curve for 27°C,20.0661,0.972762
p_curve_p curve for 27°C,20.2357,0.972762
p_curve_p curve for 27°C,20.4619,0.972762
p_curve_p curve for 27°C,20.6316,0.972568
p_curve_p curve for 27°C,20.8012,0.972568
p_curve_p curve for 27°C,20.9709,0.972568
p_curve_p curve for 27°C,21.1405,0.972568
p_curve_p curve for 27°C,21.3101,0.972568
p_curve_p curve for 27°C,21.4798,0.972568
p_curve_p curve for 27°C,21.6494,0.972665
p_curve_p curve for 27°C,21.8191,0.972762
p_curve_p curve for 27°C,21.9887,0.972762
p_curve_p curve for 27°C,22.1583,0.972762
p_curve_p curve for 27°C,22.328,0.972762
p_curve_p curve for 27°C,22.4976,0.972762
p_curve_p curve for 27°C,22.6673,0.972859
p_curve_p curve for 27°C,22.8369,0.972859
p_curve_p curve for 27°C,23.0066,0.973053
p_curve_p curve for 27°C,23.1762,0.97315
p_curve_p curve for 27°C,23.4024,0.97315
p_curve_p curve for 27°C,23.572,0.973053
p_curve_p curve for 27°C,23.7417,0.973053
p_curve_p curve for 27°C,23.9113,0.973053
p_curve_p curve for 27°C,24.0809,0.97315
p_curve_p curve for 27°C,24.6464,0.97315
p_curve_p curve for 27°C,24.8161,0.973247
p_curve_p curve for 27°C,24.9857,0.973247
p_curve_p curve for 27°C,25.6077,0.97315
p_curve_p curve for 27°C,25.7774,0.973344
p_curve_p curve for 27°C,25.947,0.973344
p_curve_p curve for 27°C,26.1166,0.973635
p_curve_p curve for 27°C,26.2863,0.973635
p_curve_p curve for 27°C,26.4559,0.973635
p_curve_p curve for 27°C,26.6256,0.973344
p_curve_p curve for 27°C,26.7952,0.973441
p_curve_p curve for 27°C,26.9648,0.973538
p_curve_p curve for 27°C,27.1345,0.973538
p_curve_p curve for 27°C,27.3041,0.973538
p_curve_p curve for 27°C,27.4738,0.973538
p_curve_p curve for 27°C,27.6434,0.973538
p_curve_p curve for 27°C,27.813,0.973635
p_curve_p curve for 27°C,27.9827,0.973635
p_curve_p curve for 27°C,28.1523,0.973926
p_curve_p curve for 27°C,28.322,0.973926
p_curve_p curve for 27°C,28.4916,0.973926
p_curve_p curve for 27°C,28.6613,0.973732
p_curve_p curve for 27°C,28.8309,0.973732
p_curve_p curve for 27°C,29.7922,0.973926
p_curve_p curve for 27°C,29.9618,0.973926
p_curve_p curve for 27°C,30.1315,0.973926
p_curve_p curve for 27°C,30.3011,0.973926
p_curve_p curve for 27°C,30.4708,0.973926
p_curve_p curve for 27°C,30.6404,0.973926
p_curve_p curve for 27°C,30.81,0.974023
p_curve_p curve for 27°C,31.0928,0.974314
p_curve_p curve for 27°C,31.2624,0.974314
p_curve_p curve for 27°C,31.4321,0.974314
p_curve_p curve for 27°C,31.6017,0.973829
p_curve_p curve for 27°C,31.7713,0.97412
p_curve_p curve for 27°C,31.941,0.973635
p_curve_p curve for 27°C,32.1106,0.973247
p_curve_p curve for 27°C,32.2803,0.972859
p_curve_p curve for 27°C,32.4499,0.973732
p_curve_p curve for 27°C,32.6195,0.974023
p_curve_p curve for 27°C,32.7892,0.973635
p_curve_p curve for 27°C,32.9588,0.973538
p_curve_p curve for 27°C,33.1285,0.97412
p_curve_p curve for 27°C,33.2981,0.974411
p_curve_p curve for 27°C,33.4677,0.973829
p_curve_p curve for 27°C,33.6374,0.973829
p_curve_p curve for 27°C,33.8636,0.973732
p_curve_p curve for 27°C,34.0332,0.973926
p_curve_p curve for 27°C,34.2029,0.973829
p_curve_p curve for 27°C,34.3725,0.973926
p_curve_p curve for 27°C,34.9945,0.97315
p_curve_p curve for 27°C,35.1642,0.974314
p_curve_p curve for 27°C,35.3338,0.974411
p_curve_p curve for 27°C,35.5034,0.974411
p_curve_p curve for 27°C,35.6731,0.974411
p_curve_p curve for 27°C,35.8427,0.974896
p_curve_p curve for 27°C,36.1255,0.973829
p_curve_p curve for 27°C,36.2951,0.973829
p_curve_p curve for 30°C,3.3847,0.933477
p_curve_p curve for 30°C,3.4978,0.933574
p_curve_p curve for 30°C,3.6675,0.93435
p_curve_p curve for 30°C,3.8371,0.935611
p_curve_p curve for 30°C,4.0068,0.937066
p_curve_p curve for 30°C,4.1764,0.937454
p_curve_p curve for 30°C,4.346,0.93823
p_curve_p curve for 30°C,4.5157,0.938618
p_curve_p curve for 30°C,4.6853,0.939394
p_curve_p curve for 30°C,4.855,0.939879
p_curve_p curve for 30°C,5.0246,0.940655
p_curve_p curve for 30°C,5.1942,0.941043
p_curve_p curve for 30°C,5.3639,0.941819
p_curve_p curve for 30°C,5.5335,0.942207
p_curve_p curve for 30°C,5.7032,0.942983
p_curve_p curve for 30°C,5.8728,0.943371
p_curve_p curve for 30°C,6.0425,0.94405
p_curve_p curve for 30°C,6.2121,0.94405
p_curve_p curve for 30°C,6.3817,0.944438
p_curve_p curve for 30°C,6.5514,0.945214
p_curve_p curve for 30°C,6.721,0.945505
p_curve_p curve for 30°C,6.8907,0.945893
p_curve_p curve for 30°C,7.0603,0.946572
p_curve_p curve for 30°C,7.2299,0.946572
p_curve_p curve for 30°C,7.3996,0.947348
p_curve_p curve for 30°C,7.5692,0.947736
p_curve_p curve for 30°C,7.7389,0.948027
p_curve_p curve for 30°C,7.9085,0.948415
p_curve_p curve for 30°C,8.0781,0.948997
p_curve_p curve for 30°C,8.2478,0.948997
p_curve_p curve for 30°C,8.4174,0.949288
p_curve_p curve for 30°C,8.5871,0.949676
p_curve_p curve for 30°C,8.7567,0.949967
p_curve_p curve for 30°C,8.9263,0.950646
p_curve_p curve for 30°C,9.096,0.950646
p_curve_p curve for 30°C,9.2656,0.950937
p_curve_p curve for 30°C,9.4353,0.951616
p_curve_p curve for 30°C,9.6049,0.951616
p_curve_p curve for 30°C,9.7746,0.951907
p_curve_p curve for 30°C,9.9442,0.952586
p_curve_p curve for 30°C,10.1138,0.952877
p_curve_p curve for 30°C,10.2835,0.95278
p_curve_p curve for 30°C,10.4531,0.953362
p_curve_p curve for 30°C,10.6228,0.953459
p_curve_p curve for 30°C,10.7924,0.95375
p_curve_p curve for 30°C,10.962,0.954041
p_curve_p curve for 30°C,11.1317,0.954332
p_curve_p curve for 30°C,11.3013,0.954623
p_curve_p curve for 30°C,11.471,0.954914
p_curve_p curve for 30°C,11.6406,0.955205
p_curve_p curve for 30°C,11.8102,0.955496
p_curve_p curve for 30°C,11.9799,0.95569
p_curve_p curve for 30°C,12.1495,0.955981
p_curve_p curve for 30°C,12.3192,0.956272
p_curve_p curve for 30°C,12.4888,0.956272
p_curve_p curve for 30°C,12.6585,0.956563
p_curve_p curve for 30°C,12.8281,0.956757
p_curve_p curve for 30°C,12.9977,0.957048
p_curve_p curve for 30°C,13.1674,0.957339
p_curve_p curve for 30°C,13.337,0.95763
p_curve_p curve for 30°C,13.5067,0.957824
p_curve_p curve for 30°C,13.6763,0.957824
p_curve_p curve for 30°C,13.8459,0.958115
p_curve_p curve for 30°C,14.0156,0.958406
p_curve_p curve for 30°C,14.1852,0.9586
p_curve_p curve for 30°C,14.3549,0.958891
p_curve_p curve for 30°C,14.5245,0.959085
p_curve_p curve for 30°C,14.6941,0.959085
p_curve_p curve for 30°C,14.8638,0.959376
p_curve_p curve for 30°C,15.0334,0.95957
p_curve_p curve for 30°C,15.2031,0.959861
p_curve_p curve for 30°C,15.3727,0.960055
p_curve_p curve for 30°C,15.5423,0.960055
p_curve_p curve for 30°C,15.712,0.960346
p_curve_p curve for 30°C,15.8816,0.96054
p_curve_p curve for 30°C,16.0513,0.960637
p_curve_p curve for 30°C,16.2209,0.960928
p_curve_p curve for 30°C,16.3906,0.961122
p_curve_p curve for 30°C,16.5602,0.961316
p_curve_p curve for 30°C,16.7298,0.961316
p_curve_p curve for 30°C,16.8995,0.961607
p_curve_p curve for 30°C,17.0691,0.961801
p_curve_p curve for 30°C,17.2388,0.961995
p_curve_p curve for 30°C,17.4084,0.962189
p_curve_p curve for 30°C,17.578,0.962189
p_curve_p curve for 30°C,17.7477,0.96248
p_curve_p curve for 30°C,17.9173,0.962674
p_curve_p curve for 30°C,18.087,0.962674
p_curve_p curve for 30°C,18.2566,0.962965
p_curve_p curve for 30°C,18.4262,0.963159
p_curve_p curve for 30°C,18.5959,0.963353
p_curve_p curve for 30°C,18.7655,0.963353
p_curve_p curve for 30°C,18.9352,0.963547
p_curve_p curve for 30°C,19.1048,0.963741
p_curve_p curve for 30°C,19.2745,0.963935
p_curve_p curve for 30°C,19.4441,0.963935
p_curve_p curve for 30°C,19.6137,0.964129
p_curve_p curve for 30°C,19.7834,0.964711
p_curve_p curve for 30°C,19.953,0.964517
p_curve_p curve for 30°C,20.1227,0.964614
p_curve_p curve for 30°C,20.2923,0.964711
p_curve_p curve for 30°C,20.4619,0.964808
p_curve_p curve for 30°C,21.1405,0.965487
p_curve_p curve for 30°C,21.3101,0.965681
p_curve_p curve for 30°C,21.5363,0.965875
p_curve_p curve for 30°C,21.7625,0.966069
p_curve_p curve for 30°C,21.9322,0.966263
p_curve_p curve for 30°C,22.1018,0.966166
p_curve_p curve for 30°C,22.2714,0.96636
p_curve_p curve for 30°C,22.4411,0.966554
p_curve_p curve for 30°C,22.6107,0.966748
p_curve_p curve for 30°C,22.7804,0.966748
p_curve_p curve for 30°C,22.95,0.966942
p_curve_p curve for 30°C,23.1196,0.967039
p_curve_p curve for 30°C,23.2893,0.967233
p_curve_p curve for 30°C,23.4589,0.967233
p_curve_p curve for 30°C,23.9113,0.968979
p_curve_p curve for 30°C,24.194,0.969949
p_curve_p curve for 30°C,24.4202,0.970143
p_curve_p curve for 30°C,24.6464,0.97024
p_curve_p curve for 30°C,24.9291,0.970337
p_curve_p curve for 30°C,25.0988,0.970337
p_curve_p curve for 30°C,25.325,0.970434
p_curve_p curve for 30°C,26.3428,0.973635
p_curve_p curve for 30°C,26.5125,0.973538
p_curve_p curve for 30°C,26.7387,0.973441
p_curve_p curve for 30°C,26.9083,0.973538
p_curve_p curve for 30°C,27.3607,0.973926
p_curve_p curve for 30°C,27.5303,0.973538
p_curve_p curve for 30°C,27.7,0.973635
p_curve_p curve for 30°C,27.8696,0.973635
p_curve_p curve for 30°C,28.6613,0.973732
p_curve_p curve for 30°C,28.8309,0.973732
p_curve_p curve for 30°C,29.7922,0.973926
p_curve_p curve for 30°C,29.9618,0.973926
p_curve_p curve for 30°C,30.1315,0.972374
p_curve_p curve for 30°C,30.3011,0.972471
p_curve_p curve for 30°C,30.4708,0.973926
p_curve_p curve for 30°C,30.6404,0.973344
p_curve_p curve for 30°C,30.81,0.974023
p_curve_p curve for 30°C,31.0928,0.972665
p_curve_p curve for 30°C,31.2624,0.972762
p_curve_p curve for 30°C,31.4321,0.974023
p_curve_p curve for 30°C,31.6017,0.973829
p_curve_p curve for 30°C,31.7713,0.97412
p_curve_p curve for 30°C,31.941,0.973247
p_curve_p curve for 30°C,32.1106,0.972665
p_curve_p curve for 30°C,32.2803,0.97315
p_curve_p curve for 30°C,32.4499,0.973732
p_curve_p curve for 30°C,32.6195,0.974023
p_curve_p curve for 30°C,32.7892,0.973635
p_curve_p curve for 30°C,32.9588,0.972568
p_curve_p curve for 30°C,33.1285,0.97412
p_curve_p curve for 30°C,33.2981,0.973538
p_curve_p curve for 30°C,33.4677,0.973829
p_curve_p curve for 30°C,33.6374,0.973829
p_curve_p curve for 30°C,33.8636,0.973732
p_curve_p curve for 30°C,34.0332,0.973926
p_curve_p curve for 30°C,34.2029,0.973829
p_curve_p curve for 30°C,34.3725,0.973926
p_curve_p curve for 30°C,34.9945,0.97315
p_curve_p curve for 30°C,35.1642,0.974314
p_curve_p curve for 30°C,35.3338,0.974411
p_curve_p curve for 30°C,35.5034,0.974411
p_curve_p curve for 30°C,35.6731,0.974411
p_curve_p curve for 30°C,35.8427,0.974896
p_curve_p curve for 30°C,36.1255,0.973829
p_curve_p curve for 30°C,36.2951,0.973829
